"dato","fangst_i_kg"
"2015-04-09","158903"
"2015-04-10","310557"
"2015-04-11","226970"
"2015-04-12","283783"
"2015-04-13","512985"
"2015-04-14","322119"
"2015-04-15","150410"
"2015-04-16","234130"
"2015-04-17","163631"
"2015-04-18","17861"
"2015-04-20","80168"
"2015-04-21","2663"
"2015-04-22","727"
"2015-04-23","435448"
"2015-04-24","34829"
"2015-04-25","65728"
"2015-04-26","1500"
"2015-04-27","85595"
"2015-04-28","4937"
"2015-04-29","44695"
"2015-04-30","41661"
"2015-05-01","7955"
"2015-05-02","32572"
"2015-05-03","5873"
"2015-05-04","29214"
"2015-05-05","23146"
"2015-05-06","20564"
"2015-05-07","13235"
"2015-05-08","13526"
"2015-05-09","10979"
"2015-05-10","1869"
"2015-05-11","8587"
"2015-05-12","7788"
"2015-05-13","222315"
"2015-05-14","909"
"2015-05-15","4695"
"2015-05-16","7149"
"2015-05-17","1016"
"2015-05-18","4508"
"2015-05-19","6021"
"2015-05-20","29277"
"2015-05-21","18581"
"2015-05-22","85057"
"2015-05-23","4287"
"2015-05-24","248"
"2015-05-25","1523"
"2015-05-26","4584"
"2015-05-27","40858"
"2015-05-28","40727"
"2015-05-29","10976"
"2015-05-30","53727"
"2015-05-31","753"
"2015-06-01","24864"
"2015-06-02","29143"
"2015-06-03","9642"
"2015-06-04","28709"
"2015-06-05","1136672"
"2015-06-06","2072"
"2015-06-07","104"
"2015-06-08","3277"
"2015-06-09","527037"
"2015-06-10","769460"
"2015-06-11","23480"
"2015-06-12","17552"
"2015-06-13","504"
"2015-06-14","413"
"2015-06-15","3863"
"2015-06-16","3129"
"2015-06-17","1912"
"2015-06-18","366612"
"2015-06-19","7530"
"2015-06-20","231"
"2015-06-21","696"
"2015-06-22","2599"
"2015-06-23","5880"
"2015-06-24","1701"
"2015-06-25","2254"
"2015-06-26","1790"
"2015-06-27","1851"
"2015-06-28","1588"
"2015-06-29","1326"
"2015-06-30","548"
"2015-07-01","1290"
"2015-07-02","974085"
"2015-07-03","1145"
"2015-07-04","588"
"2015-07-05","138"
"2015-07-06","324"
"2015-07-07","192536"
"2015-07-08","63"
"2015-07-09","997"
"2015-07-10","18156"
"2015-07-11","2013"
"2015-07-12","389"
"2015-07-13","318"
"2015-07-14","5995"
"2015-07-15","305"
"2015-07-16","104350"
"2015-07-17","2512"
"2015-07-18","587"
"2015-07-19","278"
"2015-07-20","100812"
"2015-07-21","93517"
"2015-07-22","321"
"2015-07-23","2412"
"2015-07-24","266"
"2015-07-25","51072"
"2015-07-26","647"
"2015-07-27","1258"
"2015-07-28","2437"
"2015-07-29","2201"
"2015-07-30","2295"
"2015-07-31","1761"
"2015-08-01","2182"
"2015-08-02","460122"
"2015-08-03","1970"
"2015-08-04","9245"
"2015-08-05","2013"
"2015-08-06","1768"
"2015-08-07","1346"
"2015-08-08","1443"
"2015-08-09","617"
"2015-08-10","1509"
"2015-08-11","610918"
"2015-08-12","870"
"2015-08-13","336"
"2015-08-14","14906"
"2015-08-15","1009"
"2015-08-16","1021"
"2015-08-17","2574"
"2015-08-18","2367"
"2015-08-19","6433"
"2015-08-20","4478"
"2015-08-21","2027"
"2015-08-22","2008"
"2015-08-23","1452"
"2015-08-24","4518"
"2015-08-25","949"
"2015-08-26","545"
"2015-08-27","21406"
"2015-08-28","5883"
"2015-08-29","1683"
"2015-08-30","178"
"2015-08-31","1473"
"2015-09-01","4976"
"2015-09-02","3076"
"2015-09-03","2640"
"2015-09-04","3580"
"2015-09-05","671"
"2015-09-06","256"
"2015-09-07","878009"
"2015-09-08","32400"
"2015-09-09","670"
"2015-09-10","166"
"2015-09-11","2875"
"2015-09-12","1927"
"2015-09-13","504"
"2015-09-14","93185"
"2015-09-15","3529"
"2015-09-16","455536"
"2015-09-17","3673"
"2015-09-18","484007"
"2015-09-19","602"
"2015-09-21","1089"
"2015-09-22","15899"
"2015-09-23","3013"
"2015-09-24","616029"
"2015-09-25","3986"
"2015-09-26","2182"
"2015-09-27","125"
"2015-09-28","2749"
"2015-09-29","155162"
"2015-09-30","429244"
"2015-10-01","113"
"2015-10-02","398"
"2015-10-03","395"
"2015-10-04","377"
"2015-10-05","2089"
"2015-10-06","4584"
"2015-10-07","7654"
"2015-10-08","4880"
"2015-10-09","4301"
"2015-10-10","2021"
"2015-10-11","857"
"2015-10-12","1048"
"2015-10-13","317588"
"2015-10-14","2282"
"2015-10-15","534594"
"2015-10-16","379"
"2015-10-18","856"
"2015-10-19","1069666"
"2015-10-20","505391"
"2015-10-21","1264"
"2015-10-22","815791"
"2015-10-23","2117"
"2015-10-24","453"
"2015-10-25","316550"
"2015-10-26","1719"
"2015-10-27","3575"
"2015-10-28","212580"
"2015-10-29","6119"
"2015-10-30","10555"
"2015-10-31","1042"
"2015-11-02","551"
"2015-11-03","380"
"2015-11-04","2524"
"2015-11-05","4595"
"2015-11-06","5600"
"2015-11-07","5948"
"2015-11-08","1136"
"2015-11-09","1784"
"2015-11-10","2409"
"2015-11-11","4972"
"2015-11-12","797303"
"2015-11-13","190527"
"2015-11-14","1936"
"2015-11-15","91"
"2015-11-16","8779"
"2015-11-17","7453"
"2015-11-18","9897"
"2015-11-19","9714"
"2015-11-20","4522"
"2015-11-21","2675"
"2015-11-22","272"
"2015-11-23","916250"
"2015-11-24","345725"
"2015-11-25","377455"
"2015-11-26","1951"
"2015-11-27","636"
"2015-11-28","3517"
"2015-11-29","1719"
"2015-11-30","18941"
"2015-12-01","13098"
"2015-12-02","11824"
"2015-12-03","198"
"2015-12-04","6"
"2015-12-05","1419"
"2015-12-06","1345"
"2015-12-07","708"
"2015-12-08","1468"
"2015-12-09","673693"
"2015-12-10","435"
"2015-12-11","5032"
"2015-12-12","3169"
"2015-12-13","1690"
"2015-12-14","1508"
"2015-12-15","679"
"2015-12-16","4275"
"2015-12-17","9518"
"2015-12-18","1098"
"2015-12-20","674"
"2015-12-21","23"
"2015-12-22","714639"
"2015-12-28","1933"
"2015-12-29","561"
"2015-12-30","3588"
"2015-12-31","6437"
"2016-01-02","4628"
"2016-01-03","8904"
"2016-01-04","1775743"
"2016-01-05","709741"
"2016-01-06","606572"
"2016-01-07","21401"
"2016-01-08","31760"
"2016-01-09","38069"
"2016-01-10","27801"
"2016-01-11","41411"
"2016-01-12","39835"
"2016-01-13","56592"
"2016-01-14","83562"
"2016-01-15","82918"
"2016-01-16","271435"
"2016-01-17","40778"
"2016-01-18","128656"
"2016-01-19","737265"
"2016-01-20","816857"
"2016-01-21","152017"
"2016-01-22","71382"
"2016-01-23","126658"
"2016-01-24","76697"
"2016-01-25","743497"
"2016-01-26","334215"
"2016-01-27","175234"
"2016-01-28","177497"
"2016-01-29","140601"
"2016-01-30","134837"
"2016-01-31","24712"
"2016-02-01","450311"
"2016-02-02","303235"
"2016-02-03","437066"
"2016-02-04","253316"
"2016-02-05","518012"
"2016-02-06","869529"
"2016-02-07","852582"
"2016-02-08","773261"
"2016-02-09","428715"
"2016-02-10","327980"
"2016-02-11","946322"
"2016-02-12","727111"
"2016-02-13","863781"
"2016-02-14","2239493"
"2016-02-15","2088160"
"2016-02-16","821057"
"2016-02-17","193034"
"2016-02-18","574633"
"2016-02-19","470682"
"2016-02-20","616122"
"2016-02-21","735608"
"2016-02-22","1584287"
"2016-02-23","1174311"
"2016-02-24","591561"
"2016-02-25","1066797"
"2016-02-26","1322084"
"2016-02-27","787278"
"2016-02-28","764967"
"2016-02-29","1173907"
"2016-03-01","995843"
"2016-03-02","774155"
"2016-03-03","976918"
"2016-03-04","761652"
"2016-03-05","726691"
"2016-03-06","359692"
"2016-03-07","967857"
"2016-03-08","1128709"
"2016-03-09","999199"
"2016-03-10","996034"
"2016-03-11","973011"
"2016-03-12","258410"
"2016-03-13","177821"
"2016-03-14","321555"
"2016-03-15","190722"
"2016-03-16","389448"
"2016-03-17","104601"
"2016-03-18","85693"
"2016-03-19","307035"
"2016-03-20","529005"
"2016-03-21","1895263"
"2016-03-22","583192"
"2016-03-23","602773"
"2016-03-24","211658"
"2016-03-25","129513"
"2016-03-26","29015"
"2016-03-27","29786"
"2016-03-28","49389"
"2016-03-29","803273"
"2016-03-30","137397"
"2016-03-31","1184404"
"2016-04-01","289577"
"2016-04-02","262782"
"2016-04-03","142253"
"2016-04-04","225681"
"2016-04-05","632892"
"2016-04-06","445871"
"2016-04-07","512053"
"2016-04-08","185755"
"2016-04-09","120527"
"2016-04-10","28147"
"2016-04-11","423555"
"2016-04-12","93780"
"2016-04-13","181968"
"2016-04-14","186396"
"2016-04-15","74267"
"2016-04-16","79537"
"2016-04-17","36250"
"2016-04-18","267237"
"2016-04-19","98438"
"2016-04-20","458438"
"2016-04-21","53689"
"2016-04-22","28955"
"2016-04-23","20040"
"2016-04-24","2126"
"2016-04-25","56425"
"2016-04-26","222006"
"2016-04-27","15837"
"2016-04-28","510695"
"2016-04-29","14311"
"2016-04-30","7631"
"2016-05-01","1243"
"2016-05-02","14777"
"2016-05-03","7472"
"2016-05-04","238160"
"2016-05-06","520035"
"2016-05-07","4310"
"2016-05-08","789549"
"2016-05-09","4467"
"2016-05-10","7785"
"2016-05-11","5251"
"2016-05-12","4313"
"2016-05-13","2553"
"2016-05-14","1331"
"2016-05-15","5028"
"2016-05-16","44"
"2016-05-17","503"
"2016-05-18","189"
"2016-05-19","1320"
"2016-05-20","6675"
"2016-05-21","1515"
"2016-05-22","2283"
"2016-05-23","317611"
"2016-05-24","307508"
